numero_experimento;dataset;estructura_de_datos;cantidad_consultas;tiempo_ejecucion
3;user_ids;abierto;40000;0.00264386
4;user_ids;abierto;40000;0.00269511
5;user_ids;abierto;40000;0.00275403
6;user_ids;abierto;40000;0.00268893
7;user_ids;abierto;40000;0.00278374
8;user_ids;abierto;40000;0.00272423
9;user_ids;abierto;40000;0.00264199
10;user_ids;abierto;40000;0.002766
11;user_ids;abierto;40000;0.00271672
12;user_ids;abierto;40000;0.00267339
13;user_ids;abierto;40000;0.00269971
14;user_ids;abierto;40000;0.0027244
15;user_ids;abierto;40000;0.00277826
16;user_ids;abierto;40000;0.00268439
17;user_ids;abierto;40000;0.00267713
18;user_ids;abierto;40000;0.00267431
19;user_ids;abierto;40000;0.00269296
20;user_ids;abierto;40000;0.0026702
1;user_screen_names;abierto;40000;0.00446123
2;user_screen_names;abierto;40000;0.00451687
3;user_screen_names;abierto;40000;0.00456721
4;user_screen_names;abierto;40000;0.00448761
5;user_screen_names;abierto;40000;0.00455913
6;user_screen_names;abierto;40000;0.00438911
7;user_screen_names;abierto;40000;0.00452205
8;user_screen_names;abierto;40000;0.00448063
9;user_screen_names;abierto;40000;0.00451436
10;user_screen_names;abierto;40000;0.00458871
11;user_screen_names;abierto;40000;0.00454084
12;user_screen_names;abierto;40000;0.00452872
13;user_screen_names;abierto;40000;0.00451499
14;user_screen_names;abierto;40000;0.00452865
15;user_screen_names;abierto;40000;0.00457703
16;user_screen_names;abierto;40000;0.0045181
17;user_screen_names;abierto;40000;0.00454658
18;user_screen_names;abierto;40000;0.00461297
19;user_screen_names;abierto;40000;0.00447999
20;user_screen_names;abierto;40000;0.00462264
1;user_ids;lineal;40000;1.57775
2;user_ids;lineal;40000;1.64119
3;user_ids;lineal;40000;1.59068
4;user_ids;lineal;40000;1.57666
5;user_ids;lineal;40000;1.55264
6;user_ids;lineal;40000;1.55197
7;user_ids;lineal;40000;1.55266
8;user_ids;lineal;40000;1.55827
